;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;
Depth;LcC or Uch;Abies;Picea;Pinus;Pinus (white);Ephedra;Pseudotsuga;TCT;Juniperus/Cupressus;Tsuga mertensiana;Tsuga heterophylla;Acer;Acer negundo;Quercus;Q. chrysolepis/Q. vaccinifolia;Aesculus;Lithocarpus/Castanopsis;Fraxinus;Juglans;Garrya;Platanus;Fremontia;Rosaceae;Adenostoma;Cercocarpus;Rhamnaceae;Ceanothus;Cephalanthus;Sambucus;Shepherdia;Elaeagnus;Sanguisorba;Ribes;Purshia;Salix;Myrica;Corylus;Alnus;Artemisia;Ambrosia;Liguliflorae;Compositae HS;Compositae LS;Ericaceae;Linaceae;Cruciferae;Arceuthobium;Caryophyllaceae;Malvaceae;Liliaceae;Leguminosae;Onagraceae;Labiatae;Salvia;Eriogonum;Polygonum amphibium;Polygonum californica;Vitis;Rumex ;Plantago;Polemoniaceae;Navarettia;Ranunculaceae;Umbelliferae;Rubiaceae;Thalictrum;Rhus;Lonicera;Amaranthaceae;Sarcobatus;Poaceae;Cyperaceae;Typha latifolia;Typha/Sparganium;Potamogeton;Isoetes;Equisetum;Myriophyllum;Ruppia;Nuphar hydropotes;Nuphar;Brasenia;Menyanthes;Dryopteris;Polypodium;Pteridium;Botrychium;Athyrium;Polystichum;Selaginella;Trilete;Monolete;Colonial fungi;Coprophilous fungi;Unknown A;Unknown B;Unknown C;Unknown D;Unknown E;Unknown F;Indeterminate;Other unknowns;Zea;Lycopodium;APFAC;Total Pollen and Spores
26,22;LcC;26;4;305;0;0;7;21;60;1;3;1;0;9;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;2;3;20;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;0;8;3;3;0;0;8;0;0;0;27;0;0;0;1;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;452;233;2085;531
26,7;LcC;27;1;236;3;0;1;18;61;0;8;0;0;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;19;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;19;6;0;0;0;11;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;5;12;426;316;2085;471
27,17;LcC;13;5;366;0;0;3;28;43;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;35;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;7;8;1;0;0;13;0;1;0;22;1;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;13;15;323;204;2085;593
27,63;LcC;14;0;276;0;0;0;9;72;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;7;0;0;0;17;0;2;0;15;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;12;5;589;334;2085;464
28,1;LcC;6;3;203;1;0;3;12;115;2;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;22;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;1;1;5;7;0;0;0;26;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;7;15;521;373;2085;464
28,57;LcC;8;2;141;3;0;2;12;86;2;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;45;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;0;0;1;1;4;4;1;0;0;30;0;0;0;15;1;0;0;0;0;0;0;0;0;0;0;0;5;2;0;0;0;0;0;0;10;10;351;332;2085;402
29,12;LcC RB3;10;2;291;0;0;1;5;78;2;8;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;47;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;9;7;0;0;0;12;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;0;0;0;7;7;503;372;2085;527
29,12;LcC RB2;20;0;285;0;0;0;7;69;0;4;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;28;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;12;7;0;0;0;15;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;12;11;448;294;2085;507
29,65;LcC;16;2;224;0;0;3;11;84;5;4;0;0;2;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;20;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;0;0;0;19;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;7;7;325;255;2085;430
30,17;LcC;16;2;246;0;0;3;10;111;3;3;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;31;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;2;0;8;9;0;0;0;11;0;0;0;10;0;0;0;0;0;0;0;0;0;0;1;0;1;7;0;0;0;0;0;0;10;9;255;343;2085;506
31,63;LcC;5;2;312;0;0;4;0;88;4;2;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;31;0;0;11;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;2;7;2;1;0;0;23;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;15;13;482;389;2085;557
34,67;LcC (2 slides);21;5;480;0;0;4;16;201;14;5;0;0;8;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;40;0;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;3;0;0;0;0;3;0;11;2;0;3;1;31;0;0;0;28;0;0;0;0;0;0;0;0;0;0;1;0;1;23;0;0;0;0;0;0;16;19;944;749;2085;977
